movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
281158,Полночный поцелуй,7.372,90,3325.0,2007,7.3,6881.0,"мелодрама, комедия",США,$25 000,86.0,In Search of a Midnight Kiss
88144,Большие спорщики,7.372,126,3501.0,2007,7.6,46489.0,"драма, биография",США,$15 000 000,79.0,The Great Debaters
61243,Тристан и Изольда,7.371,125,16644.0,2005,6.9,43644.0,"мелодрама, драма, боевик","США, Великобритания, Германия, Чехия",,32.0,Tristan + Isolde
3436,Неглубокая могила,7.37,92,8493.0,1994,7.4,43713.0,"триллер, криминал",Великобритания,$2 500 000,72.0,Shallow Grave
51388,В отрыв!,7.369,99,6454.0,1999,7.0,18363.0,"комедия, музыка","Великобритания, Ирландия",£2 200 000,59.0,Human Traffic
102245,Пекло,7.369,107,57109.0,2007,7.3,178770.0,"фантастика, триллер, приключения","Великобритания, США",$50 000 000,76.0,Sunshine
5473,Драйв,7.368,100,5908.0,1997,6.9,4119.0,"фантастика, боевик, комедия, приключения",США,$3 500 000,,Drive
408939,Мамонт,7.367,125,3374.0,2009,6.9,8019.0,драма,"Швеция, Дания, Германия",$10 000 000,48.0,Mammoth
207010,Чудаки (сериал 2000 – 2002),7.367,22,4323.0,2000,7.2,16250.0,"реальное ТВ, боевик, триллер, комедия",США,,,Jackass
197488,Джуно,7.365,96,60940.0,2007,7.5,396300.0,"драма, мелодрама, комедия",США,$7 500 000,94.0,Juno
13845,Астерикс и Обеликс против Цезаря,7.365,109,41435.0,1999,5.8,29888.0,"фэнтези, комедия, приключения, семейный","Франция, Италия, Германия",FRF 274 620 000,,Astérix & Obélix contre César
463893,В сердце моря,7.364,122,30194.0,2015,7.0,47956.0,"боевик, триллер, драма, приключения, биография, история","США, Австралия, Испания, Великобритания, Канада",$100 000 000,42.0,In the Heart of the Sea
